"Latest: Time (s)","Latest: Illumination (lux)"
4.162,83.8662719727
4.164,85.5581665039
4.166,93.6416625977
4.168,98.8935852051
4.17,97.5894165039
4.172,84.9942016602
4.174,80.682220459
4.176,81.2461853027
4.178,72.9747009277
4.18,82.186126709
4.182,47.8077697754
4.184,138.911590576
4.186,44.6119689941
4.188,65.0909423828
4.19,94.5816040039
4.192,54.1876220703
4.194,69.0269470215
4.196,68.8389587402
4.198,70.906829834
4.2,68.2749938965
4.202,78.8023376465
4.204,67.7110290527
4.206,69.2149353027
4.208,71.2828063965
4.21,60.3912353516
4.212,64.5269775391
4.214,60.3912353516
4.216,63.3990478516
4.218,63.5870361328
4.22,70.5308532715
4.222,59.8272705078
4.224,44.7999572754
4.226,107.541046143
4.228,53.6236572266
4.23,107.16506958
4.232,40.4762268066
4.234,43.6720275879
4.236,45.7398986816
4.238,43.8600158691
4.24,46.4918518066
4.242,42.1681213379
4.244,46.3038635254
4.246,38.9723205566
4.248,41.6041564941
4.25,39.7242736816
4.252,41.6041564941
4.254,43.2960510254
4.256,39.7242736816
4.258,39.7242736816
4.26,79.7422790527
4.262,28.268737793
4.264,156.194763184
4.266,65.4669189453
4.268,63.3990478516
4.27,47.2438049316
4.272,42.9200744629
4.274,61.7071533203
4.276,40.4762268066
4.278,44.4239807129
4.28,39.3482971191
4.282,48.3717346191
4.284,56.2554931641
4.286,54.3756103516
4.288,63.0230712891
4.29,49.3116760254
4.292,45.7398986816
4.294,43.2960510254
4.296,54.3756103516
4.298,48.3717346191
4.3,119.560546875
4.302,65.4669189453
4.304,42.1681213379
4.306,96.4614868164
4.308,39.1603088379
4.31,59.0753173828
4.312,47.2438049316
4.314,49.1236877441
4.316,58.3233642578
4.318,55.3155517578
4.32,64.9029541016
4.322,59.6392822266
4.324,62.2711181641
4.326,52.6837158203
4.328,54.7515869141
4.33,56.0675048828
4.332,56.8194580078
4.334,74.4786071777
4.336,72.410736084
4.338,93.2656860352
4.34,61.5191650391
4.342,134.023895264
4.344,69.2149353027
4.346,69.5909118652
4.348,90.4458618164
4.35,79.5542907715
4.352,91.5737915039
4.354,97.4014282227
4.356,104.345245361
4.358,93.4536743164
4.36,98.5176086426
4.362,88.9419555664
4.364,79.930267334
4.366,90.2578735352
4.368,92.1377563477
4.37,107.16506958
4.372,111.864776611
4.374,117.492675781
4.376,100.021514893
4.378,163.138580322
4.38,89.3179321289
4.382,78.426361084
4.384,165.018463135
4.386,83.1143188477
4.388,143.799285889
4.39,117.680664062
4.392,111.67678833
4.394,110.924835205
4.396,103.593292236
4.398,99.2695617676
4.4,97.4014282227
4.402,112.616729736
4.404,113.932647705
4.406,122.568359375
4.408,128.959960938
4.41,124.260253906
4.412,123.132324219
4.414,104.909210205
4.416,104.15725708
4.418,101.337432861
4.42,188.317260742
4.422,87.8140258789
4.424,169.906158447
4.426,147.735290527
4.428,131.768035889
4.43,116.928710938
4.432,104.909210205
4.434,116.740722656
4.436,112.616729736
4.438,147.923278809
4.44,156.946716309
4.442,155.254821777
4.444,157.13470459
4.446,144.927215576
4.448,136.46774292
4.45,129.523925781
4.452,128.959960938
4.454,142.107391357
4.456,205.036468506
4.458,142.859344482
4.46,177.80166626
4.462,209.736175537
4.464,124.82421875
4.466,175.169830322
4.468,140.97946167
4.47,142.48336792
4.472,162.950592041
4.474,187.377319336
4.476,177.613677979
4.478,187.753295898
4.48,177.425689697
4.482,151.11907959
4.484,155.442810059
4.486,153.186950684
4.488,160.706481934
4.49,179.857788086
4.492,190.009155273
4.494,189.069213867
4.496,189.257202148
4.498,238.850860596
4.5,108.292999268
4.502,211.792297363
4.504,178.729858398
4.506,183.241577148
4.508,204.284515381
4.51,193.768920898
4.512,210.488128662
4.514,204.284515381
4.516,198.456878662
4.518,184.745483398
4.52,181.737670898
4.522,187.94128418
4.524,195.0730896
4.526,209.360198975
4.528,203.720550537
4.53,207.856292725
4.532,193.95690918
4.534,226.079406738
4.536,163.138580322
4.538,225.891418457
4.54,213.860168457
4.542,201.0887146
4.544,230.579376221
4.546,196.57699585
4.548,224.387512207
4.55,201.840667725
4.552,197.328948975
4.554,209.360198975
4.556,197.516937256
4.558,223.071594238
4.56,195.261077881
4.562,232.459259033
4.564,213.108215332
4.566,212.544250488
4.568,219.687805176
4.57,197.892913818
4.572,218.74786377
4.574,213.108215332
4.576,235.091094971
4.578,216.116027832
4.58,230.579376221
4.582,224.575500488
4.584,232.835235596
4.586,207.856292725
4.588,232.647247314
4.59,201.652679443
4.592,231.707305908
4.594,231.707305908
4.596,210.1121521
4.598,234.151153564
4.6,208.044281006
4.602,234.715118408
4.604,231.143341064
4.606,204.660491943
4.608,234.715118408
4.61,208.232269287
4.612,224.951477051
4.614,227.195587158
4.616,233.211212158
4.618,232.459259033
4.62,226.079406738
4.622,236.970977783
4.624,235.843048096
4.626,233.587188721
4.628,237.346954346
4.63,238.286895752
4.632,236.219024658
4.634,237.346954346
4.636,239.602813721
4.638,237.346954346
4.64,235.843048096
4.642,233.587188721
4.644,238.098907471
4.646,235.467071533
4.648,237.722930908
4.65,240.354766846
4.652,219.123840332
4.654,234.151153564
4.656,236.782989502
4.658,223.071594238
4.66,235.467071533
4.662,238.286895752
4.664,234.339141846
4.666,235.843048096
4.668,232.835235596
4.67,232.271270752
4.672,234.151153564
4.674,234.339141846
4.676,239.414825439
4.678,235.843048096
4.68,233.963165283
4.682,235.843048096
4.684,233.399200439
4.686,233.211212158
4.688,232.271270752
4.69,208.796234131
4.692,236.782989502
4.694,177.049713135
4.696,229.075469971
4.698,227.759552002
4.7,221.75567627
4.702,226.079406738
4.704,220.25177002
4.706,214.800109863
4.708,221.75567627
4.71,225.703430176
4.712,220.25177002
4.714,222.131652832
4.716,225.139465332
4.718,217.995910645
4.72,222.319641113
4.722,213.108215332
4.724,217.431945801
4.726,207.480316162
4.728,214.612121582
4.73,139.663543701
4.732,221.191711426
4.734,218.74786377
4.736,155.63079834
4.738,229.639434814
4.74,177.425689697
4.742,187.001342773
4.744,202.780609131
4.746,194.332885742
4.748,211.980285645
4.75,212.544250488
4.752,202.59262085
4.754,197.328948975
4.756,196.57699585
4.758,180.609741211
4.76,187.001342773
4.762,194.697113037
4.764,196.201019287
4.766,199.208831787
4.768,191.513061523
4.77,197.516937256
4.772,111.300811768
4.774,193.580932617
4.776,128.583984375
4.778,161.270446777
4.78,169.530181885
4.782,171.78604126
4.784,179.481811523
4.786,172.913970947
4.788,165.958404541
4.79,142.671356201
4.792,139.47555542
4.794,150.555114746
4.796,142.107391357
4.798,152.62298584
4.8,160.518493652
4.802,167.086334229
4.804,169.342193604
4.806,143.047332764
4.808,87.0620727539
4.81,145.115203857
4.812,119.936523438
4.814,92.7017211914
4.816,165.394439697
4.818,126.704101562
4.82,153.938903809
4.822,160.518493652
4.824,126.704101562
4.826,116.364746094
4.828,114.672851562
4.83,103.781280518
4.832,121.628417969
4.834,147.359313965
4.836,129.899902344
4.838,142.671356201
4.84,125.576171875
4.842,105.66116333
4.844,101.901397705
4.846,92.8897094727
4.848,108.66897583
4.85,48.7477111816
4.852,67.147064209
4.854,41.0401916504
4.856,66.7710876465
4.858,35.0245666504
4.86,49.1236877441
4.862,60.3912353516
4.864,45.5519104004
4.866,42.9200744629
4.868,41.7921447754
4.87,39.7242736816
4.872,53.2476806641
4.874,58.8873291016
4.876,50.4278564453
4.878,40.8522033691
4.88,40.6642150879
4.882,39.3482971191
4.884,44.2359924316
4.886,66.2188720703
4.888,100.773468018
4.89,55.8795166016
4.892,42.9200744629
4.894,50.4278564453
4.896,70.906829834
4.898,41.0401916504
4.9,38.4083557129
4.902,38.4083557129
4.904,38.7843322754
4.906,39.7242736816
4.908,39.3482971191
4.91,44.0480041504
4.912,39.5362854004
4.914,42.9200744629
4.916,40.1002502441
4.918,41.9801330566
4.92,45.9278869629
4.922,41.7921447754
4.924,41.6041564941
4.926,46.4918518066
4.928,90.8218383789
4.93,38.7843322754
4.932,89.8818969727
4.934,66.2188720703
4.936,52.1197509766
4.938,60.5792236328
4.94,47.6197814941
4.942,57.5714111328
4.944,62.0831298828
4.946,60.7672119141
4.948,70.3428649902
4.95,69.5909118652
4.952,67.3350524902
4.954,67.5230407715
4.956,67.899017334
4.958,61.8951416016
4.96,66.7710876465
4.962,67.5230407715
4.964,124.448242188
4.966,50.4278564453
4.968,142.671356201
4.97,101.525421143
4.972,65.8428955078
4.974,106.037139893
4.976,70.5308532715
4.978,76.3584899902
4.98,81.434173584
4.982,91.7617797852
4.984,95.5215454102
4.986,97.7774047852
4.988,100.209503174
4.99,89.5059204102
4.992,95.7095336914
4.994,83.3023071289
4.996,92.1377563477
4.998,95.8975219727
5,92.8897094727
5.002,102.841339111
5.004,147.171325684
5.006,143.235321045
5.008,83.8662719727
5.01,165.206451416
5.012,85.9341430664
5.014,123.696289062
5.016,116.552734375
5.018,118.80859375
5.02,135.527801514
5.022,132.144012451
5.024,129.899902344
5.026,124.636230469
5.028,124.072265625
5.03,122.004394531
5.032,125.200195312
5.034,126.328125
5.036,128.959960938
5.038,138.911590576
5.04,143.047332764
5.042,199.58480835
5.044,101.901397705
5.046,219.311828613
5.048,155.442810059
5.05,135.151824951
5.052,187.001342773
5.054,147.171325684
5.056,162.76260376
5.058,165.018463135
5.06,160.706481934
5.062,165.958404541
5.064,164.078521729
5.066,167.27432251
5.068,160.518493652
5.07,173.853912354
5.072,162.950592041
5.074,175.169830322
5.076,171.034088135
5.078,177.80166626
5.08,171.034088135
5.082,225.139465332
5.084,174.041900635
5.086,168.402252197
5.088,224.76348877
5.09,152.434997559
5.092,212.544250488
5.094,195.261077881
5.096,186.249389648
5.098,196.57699585
5.1,186.061401367
5.102,188.693237305
5.104,189.069213867
5.106,196.764984131
5.108,201.652679443
5.11,210.664367676
5.112,197.704925537
5.114,200.712738037
5.116,201.276702881
5.118,195.261077881
5.12,214.800109863
5.122,199.58480835
5.124,236.970977783
5.126,204.0965271
5.128,231.331329346
5.13,227.759552002
5.132,222.695617676
5.134,219.311828613
5.136,202.216644287
5.138,219.499816895
5.14,221.379699707
5.142,224.387512207
5.144,224.011535645
5.146,226.455383301
5.148,231.895294189
5.15,216.679992676
5.152,211.040344238
5.154,231.143341064
5.156,228.323516846
5.158,217.055969238
5.16,220.815734863
